PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,name,sound_type
0.4142934174008726,-0.0837839216868434,0.19463770006706702,-0.8404210316915703,1.0770648976209738,-0.3966982366786508,-0.3304578011599468,1.5305430498428974,1.8331434944168625,-0.6373051246353665,0.8989218689448408,-0.09924745190166931,2.3511195951493256,-0.4808709270592871,-0.7298400707348752,-2.1878317481788923,0.5886323760275883,-0.37933347009995827,0.5961753351389113,0.8562903625315762,Preset,
2.1053688129858474,0.010909083256597391,1.8413686891808045,-1.2989319606469163,0.29762149556197987,-0.8144180130464315,-1.4567868865861207,-1.542595511719271,2.716680827797898,-1.2350264438087601,4.049830433795777,-3.237183196275421,-3.4740954178872188,-0.3169086765925165,4.7620331914498575,0.8909028140789188,0.06081351375888947,-2.423636463244622,-3.0232889644556704,-0.2624036596095331,Preset,
1.5726922460722095,0.32304163385076107,-0.8425637262466665,0.3823503856322325,-0.8290954942233403,0.07593916311143581,0.11556072901596524,-1.1600160979725493,0.5979748002867687,-0.31588168462277544,0.26964051222703717,0.29793243198390157,-0.29229536397713957,-1.5243084640980364,0.7185770477002743,-1.5283555442316,1.1270998486451638,0.14984917425923117,-0.5719941791159118,0.8235218905144603,Preset,
-3.761594343310671,1.7120473159571088,0.21416730656414207,0.11951337929616015,-5.127950009347572,-2.818448334426276,-1.9000977983071279,-0.7170808441904681,-1.9291088413262787,0.7289850614257445,1.3443453788378763,0.26921285302683623,-0.6862478043690327,-0.9624163759674847,-1.5256761016587312,0.9196480570385469,0.8484241117914205,0.02221583647418778,1.1760812953317816,-1.5941358844221987,Preset,
-3.0419303908636137,-1.2731623631980404,2.6466397039121414,-0.17236703231425574,0.08918722675932007,-0.20227333320720442,0.20823212623419382,0.11819379403144825,1.4959153483459287,-2.770065647706099,1.7217664389883502,-1.9310720781415391,0.32989712902652774,0.7554099657032924,1.8496089493553554,-0.025724926474557708,0.1668248144879721,-0.10598062410969356,-2.0970169176634177,1.8138916891006311,Preset,
0.3775059500785372,-0.9929940107070265,2.6366181976182292,-5.568062264294089,2.0823442316658176,-3.065320418014338,-0.08478310162646813,-0.2055652687513371,1.3342537339141902,2.9452866833686135,0.06438487796295816,-0.9786793447930393,-1.7808031515888199,-2.0197352409061096,-2.436377178081139,-0.6800706639393986,-1.5945435244682764,-0.3479726742473051,-0.19019481372587319,-1.9905461384019927,Preset,
1.2801702618089355,-0.051722792660682755,0.32517678626566116,-0.6077287612038355,-0.6390512086350453,0.08811045296127251,-1.52913972309066,-0.9278490041946382,1.8857454811197247,-1.8216818453124382,2.896332590418743,-2.8896785029983665,-2.327014940892343,-0.5714315858410716,4.442567615132186,-0.3777694837313162,1.0216383152848583,-1.2425995693182659,-2.046748593498504,-0.5440610849103951,Preset,
1.100873273305716,-2.5313461350859265,-0.25044587363793896,-1.610094358945804,1.0890307469103773,0.24426880988455937,-1.197620757589022,1.343515148166924,-0.5517834788256574,-0.3767738453653962,3.0614502509721806,-1.3566254474054202,0.8974174550557327,0.8389073887824525,1.2784894053429152,-0.4598988607005981,-0.22839016340384946,2.4575422870457375,-1.7046553103708444,1.4899343112174588,Preset,
0.6593481473206992,-2.146734085151849,1.2818767635889665,0.3871368718032319,1.0701209835295884,0.8066337438250596,-1.8276494165813872,-0.21861079901415154,-1.3962137738816014,0.5735305028397325,1.2403870121251217,0.05967983569324154,-0.3997149614031852,-0.35357088986828994,0.8474867591173864,0.6659947421761019,-0.816472757809492,-0.26094548247064675,-0.8813118305290091,-0.37947890744128243,Preset,
-0.1411367227194211,0.9926987086648767,-0.8869364246409484,1.6405294658746217,0.1607204541097012,-0.612662320790446,0.9028682301859307,-0.8718863892341069,-0.036313230220815736,0.5611591900164621,0.5049484602132741,-1.23205537803095,-0.3039007947482083,0.9491540017095412,0.3502218681599258,1.4415104809026742,-0.01695069983913693,0.3553657813694861,0.06008043626715436,0.7789690366349126,Preset,
