id,name,kind,midi_note,note_label,d_brightness,d_depth,d_hardness,d_roughness,d_warmth,d_sharpness,d_boominess,stored_a4_brightness,stored_a4_depth,stored_a4_hardness,stored_a4_roughness,stored_a4_warmth,stored_a4_sharpness,stored_a4_boominess
b107b944,Preset,random,45,A2,29.48883450842225,,28.29621753600088,47.62029159515579,67.19367216068237,33.30784609918718,50.227651196760064,27.11555354759932,66.80432886507158,15.997649744761105,44.15939595876564,67.206088879404,30.898974610013365,51.736936055249586
b107b944,Preset,random,57,A3,30.874791083866,71.47592464848054,19.953860451641816,45.97989414326018,67.24664354283502,29.374396341394895,52.009400881952445,27.11555354759932,66.80432886507158,15.997649744761105,44.15939595876564,67.206088879404,30.898974610013365,51.736936055249586
b107b944,Preset,random,69,A4,27.044828423676098,66.84655386512298,26.676921799955025,40.077575639186385,67.4248972885313,25.735020951454224,53.06329238156002,27.11555354759932,66.80432886507158,15.997649744761105,44.15939595876564,67.206088879404,30.898974610013365,51.736936055249586
b107b944,Preset,random,81,A5,34.66641492871187,57.90290765705872,25.152354572644086,47.30291062756042,69.80314015489144,21.792419861073732,44.64932536690667,27.11555354759932,66.80432886507158,15.997649744761105,44.15939595876564,67.206088879404,30.898974610013365,51.736936055249586
b107b944,Preset,random,93,A6,44.32914853924647,46.515062105161334,30.997069291775333,51.45403667248081,57.67462474217124,25.25222534096921,36.6520059279256,27.11555354759932,66.80432886507158,15.997649744761105,44.15939595876564,67.206088879404,30.898974610013365,51.736936055249586
ab5ee07f,Preset,random,45,A2,57.24094007007271,62.81232781498044,71.20116532261409,63.33118419434978,57.17407925931889,50.70638746077188,34.00188680693044,70.85709493543557,32.947527127545776,69.2706523579501,75.22956619584946,34.40323421979363,61.15588351799228,16.06781934380388
ab5ee07f,Preset,random,57,A3,65.09493488178732,45.45021304854918,64.24188383842792,70.84390304930005,41.84280290704882,56.13788217552816,26.65580453143511,70.85709493543557,32.947527127545776,69.2706523579501,75.22956619584946,34.40323421979363,61.15588351799228,16.06781934380388
ab5ee07f,Preset,random,69,A4,71.5704539254176,33.69269903115659,69.24647992564681,76.61629678740395,34.191863835243836,62.101924679194994,15.863502677919499,70.85709493543557,32.947527127545776,69.2706523579501,75.22956619584946,34.40323421979363,61.15588351799228,16.06781934380388
ab5ee07f,Preset,random,81,A5,76.10665412581656,21.34023577195194,72.58667550070388,78.26718277727454,21.5666370623233,67.85961199714465,-5.2147781340788555,70.85709493543557,32.947527127545776,69.2706523579501,75.22956619584946,34.40323421979363,61.15588351799228,16.06781934380388
ab5ee07f,Preset,random,93,A6,80.3283362618383,17.347071142307115,79.80729690055313,78.27978213439538,15.487080190844356,73.4585308541024,-7.997210486608068,70.85709493543557,32.947527127545776,69.2706523579501,75.22956619584946,34.40323421979363,61.15588351799228,16.06781934380388
c186b963,Preset,random,45,A2,46.25134090743404,81.13528977410884,52.195669598721025,0.0,61.37850843963474,46.087675104947394,38.938177717441036,30.11058752406682,69.64654393696998,41.27795158922612,25.91401790792371,60.867767792418846,41.35954068547511,48.019588431429895
c186b963,Preset,random,57,A3,43.85474895436862,,38.56501544019363,23.632445782733683,62.12121144702522,48.571751915602064,39.3461024330746,30.11058752406682,69.64654393696998,41.27795158922612,25.91401790792371,60.867767792418846,41.35954068547511,48.019588431429895
c186b963,Preset,random,69,A4,32.73132103720346,69.64383218735423,40.336748960901446,0.0,61.1178572386259,41.73710251862847,47.72396147772348,30.11058752406682,69.64654393696998,41.27795158922612,25.91401790792371,60.867767792418846,41.35954068547511,48.019588431429895
c186b963,Preset,random,81,A5,30.030319875812356,63.69226414457539,21.90694077303023,37.41302305679705,65.13543320229482,27.85730925846702,53.175663049386294,30.11058752406682,69.64654393696998,41.27795158922612,25.91401790792371,60.867767792418846,41.35954068547511,48.019588431429895
c186b963,Preset,random,93,A6,32.832276492325605,59.21635063749212,30.458995086941016,29.69128349032071,69.82133634836254,25.255481146133306,43.12089463396814,30.11058752406682,69.64654393696998,41.27795158922612,25.91401790792371,60.867767792418846,41.35954068547511,48.019588431429895
0b15e0e5,Preset,random,45,A2,36.99774484444897,56.12777365538244,32.03302100424371,29.669209520823827,65.69663973304134,23.707120670304683,38.2479401060924,52.21302679664083,19.21590707944756,51.38935280779069,45.3220784701766,41.79010051935219,33.36205925744935,27.58927527590856
0b15e0e5,Preset,random,57,A3,43.75066380400615,30.88762189124266,44.349456815444455,42.184741928261985,49.8625483233087,24.117811656013096,19.54874790127532,52.21302679664083,19.21590707944756,51.38935280779069,45.3220784701766,41.79010051935219,33.36205925744935,27.58927527590856
0b15e0e5,Preset,random,69,A4,52.7272490579517,19.736980314395545,50.79952262516841,44.222457095578456,41.339535897795216,35.83912293300329,27.73521042385261,52.21302679664083,19.21590707944756,51.38935280779069,45.3220784701766,41.79010051935219,33.36205925744935,27.58927527590856
0b15e0e5,Preset,random,81,A5,66.99784579589411,12.18653370133056,58.708401267989416,46.028340683383675,30.696696116494756,48.19704791349076,16.280473003770503,52.21302679664083,19.21590707944756,51.38935280779069,45.3220784701766,41.79010051935219,33.36205925744935,27.58927527590856
0b15e0e5,Preset,random,93,A6,77.58318636931577,45.437297654253314,50.68754783443197,45.20156308984189,35.810243393058,61.426718516204055,24.065333002783188,52.21302679664083,19.21590707944756,51.38935280779069,45.3220784701766,41.79010051935219,33.36205925744935,27.58927527590856
2319e2ba,Preset,random,45,A2,57.00997413730953,54.10509169057466,46.07892523588254,55.01758605280794,51.274074330905165,34.67382227059779,33.45330830759996,60.477390705898806,39.73847095459596,47.61060784500776,54.02716566527911,43.87787616178541,47.87929400857725,15.891325408226203
2319e2ba,Preset,random,57,A3,60.726716155109166,51.878929185662855,49.3035827603656,51.78433263055465,51.785492560162346,40.37608215363979,33.79680530659006,60.477390705898806,39.73847095459596,47.61060784500776,54.02716566527911,43.87787616178541,47.87929400857725,15.891325408226203
2319e2ba,Preset,random,69,A4,61.519049316126946,38.08133627299481,48.14078076543501,54.46918046029835,42.63679869603447,47.92134565376635,16.98880703541215,60.477390705898806,39.73847095459596,47.61060784500776,54.02716566527911,43.87787616178541,47.87929400857725,15.891325408226203
2319e2ba,Preset,random,81,A5,61.98202365124911,23.11778591303483,49.26479565007557,45.45100056529634,32.23473624440835,53.267253346792145,7.667513854813691,60.477390705898806,39.73847095459596,47.61060784500776,54.02716566527911,43.87787616178541,47.87929400857725,15.891325408226203
2319e2ba,Preset,random,93,A6,70.11817394128988,16.156592409973968,50.19056361995004,43.95125515394357,23.23425142245698,58.081922964483944,7.907485564136941,60.477390705898806,39.73847095459596,47.61060784500776,54.02716566527911,43.87787616178541,47.87929400857725,15.891325408226203
05a44a12,Preset,random,45,A2,47.57277805311675,56.429945863123095,54.80962964807068,49.000433898356484,57.50574347140085,36.537148170008784,39.22283841106428,48.66875566368402,58.40282588240982,52.30298781690425,49.85554286894425,55.20582349505747,37.69554739176671,38.293266082646355
05a44a12,Preset,random,57,A3,47.63954083009292,62.530563675809006,51.04992947248212,48.76485644726457,57.445198929319204,36.918307920439,37.2044800742794,48.66875566368402,58.40282588240982,52.30298781690425,49.85554286894425,55.20582349505747,37.69554739176671,38.293266082646355
05a44a12,Preset,random,69,A4,47.32411281386162,57.08222594130616,49.71515310521352,46.53407157911342,54.38266455726283,35.59902211603756,40.33855860437592,48.66875566368402,58.40282588240982,52.30298781690425,49.85554286894425,55.20582349505747,37.69554739176671,38.293266082646355
05a44a12,Preset,random,81,A5,42.89914796879058,56.94660342180737,41.54613251721236,41.43592281038455,58.72123217546545,30.331033489500104,42.694217356784065,48.66875566368402,58.40282588240982,52.30298781690425,49.85554286894425,55.20582349505747,37.69554739176671,38.293266082646355
05a44a12,Preset,random,93,A6,48.49915702182234,38.29510747428459,46.36255653106255,43.54333440182825,48.14164517943664,34.69929439733017,26.12409198009665,48.66875566368402,58.40282588240982,52.30298781690425,49.85554286894425,55.20582349505747,37.69554739176671,38.293266082646355
d70365cd,Preset,random,45,A2,17.92480401342592,72.87909621079314,31.800131442173182,37.23288450916502,59.63039529888951,39.061700698812416,50.94672310618008,28.218490959011106,71.42588517887289,44.32739401984105,43.06530426995936,60.940646497199936,43.57935773461588,45.359593476179654
d70365cd,Preset,random,57,A3,23.156939754236546,73.97258062630625,31.790931459737166,42.237719620003695,56.53097062490983,28.910310071406414,55.04970985661623,28.218490959011106,71.42588517887289,44.32739401984105,43.06530426995936,60.940646497199936,43.57935773461588,45.359593476179654
d70365cd,Preset,random,69,A4,27.975518721813497,71.84019468037395,39.769376914444805,44.894872113422764,63.695691659642705,40.54436503934333,48.27324326351729,28.218490959011106,71.42588517887289,44.32739401984105,43.06530426995936,60.940646497199936,43.57935773461588,45.359593476179654
d70365cd,Preset,random,81,A5,30.581974887922435,74.87662568980365,43.36851275394747,37.180513430324346,64.78488875827591,42.651727319835466,43.97028690781764,28.218490959011106,71.42588517887289,44.32739401984105,43.06530426995936,60.940646497199936,43.57935773461588,45.359593476179654
d70365cd,Preset,random,93,A6,33.78781871777831,76.97844842975053,44.8841000403757,36.51815307810365,61.96185093526812,47.71367301597249,39.66273601204859,28.218490959011106,71.42588517887289,44.32739401984105,43.06530426995936,60.940646497199936,43.57935773461588,45.359593476179654
ebb7c21a,Preset,random,45,A2,70.7949175447873,41.599642195349674,59.410451025113105,72.74325393120515,36.6536543782998,59.17829906568237,20.45295851464661,84.12209273056213,41.756875713684856,66.83729017629213,82.61453465711499,23.474763989791683,76.45911393727698,15.477293290468587
