id,name,seed_index,stored_brightness,recomputed_brightness,abs_diff_brightness,recomputed2_brightness,noise_diff_brightness,stored_depth,recomputed_depth,abs_diff_depth,recomputed2_depth,noise_diff_depth,stored_hardness,recomputed_hardness,abs_diff_hardness,recomputed2_hardness,noise_diff_hardness,stored_roughness,recomputed_roughness,abs_diff_roughness,recomputed2_roughness,noise_diff_roughness,stored_warmth,recomputed_warmth,abs_diff_warmth,recomputed2_warmth,noise_diff_warmth,stored_sharpness,recomputed_sharpness,abs_diff_sharpness,recomputed2_sharpness,noise_diff_sharpness,stored_boominess,recomputed_boominess,abs_diff_boominess,recomputed2_boominess,noise_diff_boominess
8124c78c,Preset,1,78.90933168677495,79.73162100782095,0.822289321046,79.24549740169424,0.4861236061267107,17.602357162613814,16.738592281142537,0.8637648814712762,16.45539573523935,0.28319654590318777,71.61628027988317,71.68538295398804,0.06910267410486881,69.41242556599036,2.2729573879976783,74.43929517861375,73.59216482804877,0.8471303505649814,74.23790243046619,0.6457376024174266,15.234324155839047,15.1723192170573,0.0620049387817474,15.761533443690784,0.5892142266334837,71.9216637945064,71.58299399891035,0.33866979559604715,69.64624185474912,1.9367521441612325,-1.3081944523377445,1.5971691541961164,2.905363606533861,2.8495229920658147,1.2523538378696983
9061708f,Preset,2,42.03422232132303,40.00191919627002,2.032303125053005,39.497471065958266,0.5044481303117578,64.56228888997421,65.52524882479585,0.9629599348216402,65.73400723460391,0.2087584098080555,49.6416705015385,45.76944714805538,3.872223353483122,46.59621530699195,0.8267681589365736,41.76914666326008,41.53932910725519,0.22981755600488896,40.485230178845,1.0540989284101911,59.8048399966963,60.35023847981311,0.5453984831168057,60.34202139231301,0.008217087500099751,33.41476828116477,31.41899963589284,1.99576864527193,31.81848902872214,0.3994893928293024,43.198531461599345,45.093567085101256,1.8950356235019115,44.92075883592801,0.17280824917324367
159abdf1,Preset,3,53.324777591224894,53.18153346328719,0.1432441279377059,53.18210524301158,0.0005717797243889322,40.724394566356686,41.744537530960876,1.0201429646041902,40.90492254682282,0.8396149841380591,47.32269836369548,52.820070474045735,5.4973721103502555,54.82952413048463,2.009453656438893,52.55688155324414,52.953995968891846,0.39711441564770666,52.03844131722721,0.9155546516646353,48.10150928032987,48.50667975077084,0.40517047044097154,47.937281692219464,0.5693980585513785,33.25139256551482,34.5077012110522,1.2563086455373806,33.07741501429916,1.4302861967530376,27.22736715902162,26.7971906036779,0.4301765553437207,27.22957929813673,0.43238869445882955
50012090,Preset,4,50.4604550876408,51.89399579999928,1.4335407123584787,47.82570307138628,4.068292728613002,47.93717990358812,48.88805033467413,0.9508704310860168,48.03037243948373,0.857677895190406,48.389951103643625,42.48949341097591,5.900457692667715,43.425055928427014,0.9355625174511033,35.665251982496414,35.82137444624384,0.15612246374742256,33.73922701880283,2.082147427441008,41.475515553059246,41.881078218858704,0.405562665799458,44.468238691717154,2.58716047285845,36.26749745507648,37.86145433384469,1.5939568787682106,31.289881500512124,6.571572833332567,23.502095997502117,26.041064714108284,2.538968716606167,26.433912356696425,0.39284764258814064
be008809,Preset,5,28.777974430030962,23.78907199111063,4.988902438920331,27.388418530936487,3.5993465398258557,66.6586986661196,67.23711488387853,0.578416217758928,67.10320142823134,0.13391345564718904,33.36425127377073,28.92027622987638,4.443975043894355,31.696844838080935,2.776568608204556,37.31960457798166,33.22796781764997,4.0916367603316885,35.68959093181788,2.4616231141679137,64.58577488495116,64.7099870231604,0.12421213820923072,65.01232129621009,0.30233427304969496,15.872339990601642,8.520068878674376,7.352271111927266,15.565951200152316,7.04588232147794,52.54383644504202,56.97934344602628,4.435507000984259,53.91668657402774,3.0626568719985343
e601dd21,Preset,6,19.321046866721154,19.901896584976576,0.580849718255422,20.912975906162362,1.011079321185786,67.22262017615316,67.34496101684272,0.12234084068956008,67.19439062798887,0.15057038885385055,24.625242485410837,27.54699633446252,2.921753849051683,27.41945462444903,0.1275417100134888,0.0,0.0,0.0,0.0,0.0,56.23269985448499,57.08099926086793,0.8482994063829352,57.060848503005275,0.020150757862651858,-12.929467459810368,-8.986830659056665,3.9426368007537036,-8.286250685953945,0.7005799731027196,65.50311373860784,64.38938440060932,1.113729337998521,64.28742914608392,0.101955254525393
2ac379af,Preset,7,61.09134122615501,59.11995982752138,1.971381398633632,58.694397548659225,0.42556227886215225,40.70326398954077,39.37731439321074,1.3259495963300338,46.24170529816252,6.864390904951783,52.03535857923157,49.96159077731062,2.073767801920951,53.465618658465644,3.504027881155025,53.30771704595472,50.48734336172937,2.820373684225345,48.12836999477646,2.3589733669529096,40.82289925522625,43.10870243410589,2.2858031788796467,37.83415010318557,5.274552330920322,55.947858442842616,55.68906137822389,0.25879706461872587,55.056946700486534,0.6321146777373556,28.789529546413718,31.235882808115143,2.446353261701425,29.24720130543929,1.9886815026758526
0f985041,Preset,8,53.64746327405179,54.07578468168985,0.4283214076380659,56.409224837989086,2.3334401562992326,67.3458150957483,65.06720651417645,2.2786085815718593,65.92657727617427,0.8593707619978233,67.71960611521217,64.63186405120987,3.087742064002299,66.92176143674664,2.2898973855367615,61.16396772981653,60.42886037826693,0.7351073515495941,64.67042017757927,4.241559799312341,50.45763305853731,49.205304452845276,1.2523286056920355,47.245926014107546,1.9593784387377298,48.58575482800971,49.17789558862723,0.592140760617518,50.64883612884769,1.470940540220461,37.25026935390484,37.182316586273195,0.06795276763164537,35.57452501343275,1.6077915728404477
9db2366f,Preset,9,24.514504756464575,23.719458541487263,0.7950462149773116,26.876944796917275,3.157486255430012,59.790226916208844,59.783651460799994,0.006575455408849962,55.13697988406161,4.646671576738385,28.851635512075205,30.332370142827912,1.480734630752707,24.85277473243424,5.479595410393671,0.0,0.0,0.0,0.0,0.0,62.39728715674319,64.89587231648761,2.4985851597444224,65.56021787101446,0.6643455545268466,13.45765488612448,16.317562977621808,2.859908091497328,13.975548453667646,2.3420145239541625,46.011329547316194,45.36233554051488,0.6489940068013169,45.82389570303094,0.461560162516065
5e04fb2d,Preset,10,43.31604949665764,42.643264576112784,0.6727849205448564,42.54457436801473,0.09869020809805562,40.820276698993496,43.853072942275375,3.0327962432818794,45.494707714069065,1.64163477179369,36.36216392785404,38.12628228588325,1.764118358029208,36.90229946607104,1.223982819812207,35.278578177602746,22.99436588385917,12.284212293743575,31.381814347108044,8.387448463248873,60.212137842575586,62.180568015710065,1.9684301731344789,60.55810852739339,1.6224594883166787,27.71382141882308,26.474428133086423,1.2393932857366572,28.751673268981587,2.277245135895164,35.71842445245042,35.3393733101949,0.37905114225551984,35.583903125382484,0.2445298151875832
