id,name,kind,ac_brightness,ac_depth,ac_hardness,ac_roughness,ac_warmth,ac_sharpness,ac_boominess,feat_spectral_centroid,feat_spectral_rolloff_85,feat_spectral_bandwidth,feat_spectral_flatness,feat_low_band_ratio,feat_mid_band_ratio,feat_high_band_ratio,feat_zero_crossing_rate,feat_rms
19fd8e00,Preset,random,48.10518225630967,23.602309972502155,42.239692089453285,0.0,46.38067185740762,34.0804290146058,7.512939376831497,623.9905345239847,646.9861260775862,58.579332760983625,5.760764310025479e-09,4.040790500078264e-06,0.9990006414894731,5.350231878531276e-06,0.02770294540229885,0.07748834043741226
a2ae504b,Preset,random,21.921242186317073,69.02815927212207,27.057217313576018,47.394389531307276,65.09069545742162,17.28318029141252,54.53814879037135,12.425300353125461,43.5614224137931,31.985407091722294,1.5464854952185192e-09,0.9995190180051791,0.0004256348330388593,2.7267092368615437e-05,0.00017959770114942528,0.9386563897132874
0f9e0b9d,Preset,random,26.05066190707421,66.3433924990801,26.781047284140115,44.004136386827604,70.23315324822407,24.199707260311925,49.228876516481755,143.95059368008333,193.05630387931035,73.91280680726638,2.7644647460078886e-08,0.9519718857230338,0.04794028369386131,4.287205544638043e-05,0.006443067528735632,0.08342226594686508
be5c99d5,Preset,random,31.960102911275825,63.33181039278083,30.038550661348935,45.32609945241749,66.0188969209465,21.62978116500093,46.41361410498262,176.37081493096977,297.99973060344826,115.23298403810135,2.7705192806593004e-08,0.6860276472487521,0.3139678131594821,1.5969581434966696e-06,0.005713451867816092,0.0806078314781189
edba0f79,Preset,random,47.12398086382545,66.58917556367774,54.54344721556146,48.272134540701884,52.12577562455421,43.82860218229612,45.89190554851811,152.41708806401076,129.6942349137931,433.23355057637406,1.2141447314206744e-07,0.9690509703600052,0.0249726971228136,0.003458430303957382,0.012291217672413793,0.08450665324926376
80e09a41,Preset,random,80.91349842732718,38.43094557555548,79.33803901214196,83.59133233351734,27.47704587456731,70.27382780798123,16.23433673783338,5156.31019179813,9030.084859913793,3966.1502471457834,0.010505631566047668,0.039326522855698515,0.2827580718628453,0.5497414540764333,0.27974586925287354,0.05154091864824295
109871c1,Preset,random,28.58503523612353,72.44565366906299,35.83046338915604,0.0,63.72883653649248,14.73211254075554,56.69978731259061,15.349253359310076,44.55145474137931,65.09928044087106,6.125128404477209e-09,0.9993354113631182,0.0005637826388136533,5.4153791190575025e-05,0.00017959770114942528,0.7730046510696411
190653d1,Preset,random,33.25005964328449,75.59387784837365,42.24795117530144,0.0,65.75793867440507,43.913848349498664,45.50976603729903,14.237135040037689,43.06640625,28.31535960531556,5.975624439713556e-10,0.9998914026882352,0.00010516611567584794,1.684471485684608e-06,0.00033674568965517244,0.23229274153709412
3ff0eb11,Preset,random,68.35861908967638,31.10348890490917,65.08239584694559,63.31597503773116,28.959944347050254,52.62261388263458,22.20971844353051,92.28166227301622,116.32879849137932,57.53917467458381,1.0286464041664445e-10,0.9969525676001333,0.0030461994552398656,4.1674221301508274e-08,0.004658315373563218,0.13943623006343842
2b20cdfa,Preset,random,27.238468363138338,70.91929158343902,30.33329204223064,40.85510016781648,55.72440206986444,41.095401767074726,48.85493189988155,50.84672119991481,84.64776400862068,75.07055410275349,3.349905242089335e-08,0.9992873882456359,0.0007116624356135036,6.747646707742351e-07,0.0027500897988505745,0.1349049061536789
41ad6ba1,Preset,random,31.372848248327255,68.75193271982208,34.45044208129687,35.223529238961206,50.528412947321335,27.79753293763115,59.25690336912289,156.83013690502582,239.09280711206895,255.5821868581556,1.9100567794083645e-09,0.7823959892723981,0.21662675449447355,0.00014144614150305294,0.009316630747126436,0.13652180135250092
e5b60039,Preset,random,60.818964239772626,34.62033222135287,60.778669057770685,34.79792969212313,32.01733027836925,57.863376953817514,18.173074567272565,561.7164532578795,416.8036099137931,1303.8576769860763,3.2391613835613953e-09,0.05892265726965139,0.9129256769138449,0.018124634105283553,0.028006016522988505,0.0729866772890091
6098d7b1,Preset,random,28.86104171307847,68.5025885412865,30.931009235934454,52.34511517720042,67.47368854161851,16.616565096579766,47.007797307400836,300.2517570498956,392.54781788793105,121.11980812527734,6.931843293811468e-11,0.24316067857044713,0.756839304713953,1.7671639814380166e-08,0.016062769396551723,0.08254144340753555
