id,name,kind,reason,ac_brightness,ac_depth,ac_hardness,ac_roughness,ac_warmth,ac_sharpness,ac_boominess
9f33b10e,Preset,random,convergent_outlier:brightness~spectral_centroid,92.2915320423649,-0.1356193752536114,69.93232098682836,81.65597114727991,33.665221058629506,84.24037458653035,-51.42044017088212
50d87e8f,Preset,random,convergent_outlier:brightness~spectral_centroid,91.83815873989867,-3.370566707592076,73.46510470433677,80.14922944933143,24.99243796483256,82.02757150466441,-28.902554158536542
db275424,Preset,random,convergent_outlier:brightness~spectral_centroid,92.26729231046276,-1.324496325135371,76.27906367112621,83.08831900119532,36.20823630343613,84.16578141324536,-42.38470294845186
68c0ffb1,Preset,random,convergent_outlier:brightness~spectral_centroid,86.11709232742582,29.48321240323989,74.66832269145851,78.97872972409837,24.139096357511796,68.03104988785307,6.752803184079372
1154780e,Preset,random,convergent_outlier:depth~low_band_ratio,74.04522796293426,8.495585985554811,56.104049207213734,0.0,19.26324409938701,73.67827881657814,-16.754708018107422
8b1971d8,Preset,random,convergent_outlier:depth~low_band_ratio,77.4174136124407,11.216664944093845,70.89583799413461,58.64320158315244,17.016581560286557,71.7768585550194,4.191471290488991
7f350394,Preset,random,convergent_outlier:depth~low_band_ratio,91.72932165450588,13.4485975270902,70.6485984321094,84.62100247965896,26.637150692163974,85.18744427168149,-6.96133299140039
88e040a4,Preset,random,convergent_outlier:depth~low_band_ratio,61.39270362416626,14.583687515635958,47.59206539285921,0.0,33.15142847884114,47.004556112176225,20.634986662629736
7f2d8af3,Preset,random,convergent_outlier:boominess~low_band_ratio,86.47063515548818,15.816378077751615,74.57943596872133,85.93271923502951,25.407180024359107,86.1891796773442,-19.38237119410585
560d3a31,Preset,random,convergent_outlier:boominess~low_band_ratio,82.78128592234164,3.1211975513879935,68.26649642190279,46.01971930773202,15.92480147411228,83.85054730230016,-53.88900928495747
a591844b,Preset,random,convergent_outlier:boominess~low_band_ratio,73.45107802340186,17.685878379388804,69.19490772926812,52.22000755127709,17.86865580554454,67.18390843513232,-5.658494609605256
4606b3fa,Preset,random,convergent_outlier:boominess~low_band_ratio,4.204367570115597,69.56053920853662,23.34357373899439,34.8216668559352,60.44658106029003,-20.990849003120424,68.27685754471548
c88725b3,Preset,random,convergent_outlier:warmth~high_band_ratio,28.86027250778579,66.27015703215852,30.42035000280221,50.61696674408578,70.17776696022983,16.824476568948537,49.64463833321916
58c9f478,Preset,random,convergent_outlier:warmth~high_band_ratio,29.785487562519386,68.45608031866358,44.32097197933055,0.0,64.87305103565274,17.521004579822176,56.91777141770666
a64dfc5a,Preset,random,convergent_outlier:warmth~high_band_ratio,89.5413383383306,30.21277657842255,67.1545767560466,84.42720940666311,41.11181234649034,76.5476117607908,27.031008039773948
7b3e9bb1,Preset,random,convergent_outlier:warmth~high_band_ratio,68.84719178796252,58.75468149921069,65.84211535966296,54.28209157730723,39.71551628388181,57.72835748328343,22.409054930165027
74f6ae60,Preset,random,contradictory_pair:brightness+boominess,83.62807425022164,64.07654823036054,65.05860045255568,59.3440522033064,45.6423728646545,39.82138348742353,45.84710256323539
5886c115,Preset,random,contradictory_pair:brightness+boominess,3.69968712467017,66.64895786539196,8.192123008167243,0.0,59.80825165485507,-28.91098132799558,73.87841585835956
