descriptor,pitch,n,mean_abs_dev_from_a4,std_abs_dev,median_abs_dev,signed_dev_min,signed_dev_max,pearson_r_to_a4
brightness,A2,200,9.457001647727067,7.142739546132114,7.821343327360793,-39.238723337951356,42.12385121343734,0.9098680860236048
brightness,A3,200,5.777496249305939,4.381875413360601,4.844653288626398,-19.263953381462855,30.28895894148924,0.9635667048161232
brightness,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
brightness,A5,200,6.056135866109361,4.321154545814406,5.481144764810745,-10.060399493295122,21.37533037837005,0.9702617074381964
brightness,A6,200,11.706817332150699,8.20491450761315,10.547643892601425,-19.445389917310735,40.85194272697512,0.9014829765855902
depth,A2,197,16.437034422030138,11.521605677518423,14.495423586029851,-24.266187138128785,49.141104058959584,0.7328477486769918
depth,A3,199,10.729941176269316,7.480503595039652,8.945851959106548,-24.97096465838603,31.540721620925353,0.8751525065853935
depth,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
depth,A5,200,9.964049973551443,7.125880481390395,8.03194140349629,-33.41230909794544,25.689913454220452,0.9024671871093864
depth,A6,200,16.511134104093454,10.153702477476884,15.628656936801917,-39.73610090120813,25.70031733985777,0.8183848202978677
hardness,A2,200,8.125303590867391,5.885385697941752,6.5351986121668375,-26.330251881465443,22.858230018336357,0.8764903851689686
hardness,A3,200,5.960030032856419,5.2622515089003965,4.821592399376584,-37.70664867697383,17.28892060661397,0.9238233007767019
hardness,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
hardness,A5,200,6.068108090756384,5.189434758192783,4.644290626242789,-27.15128666524228,26.218389848813217,0.9077016801396729
hardness,A6,200,8.7911275546864,7.857795891106826,5.981514739281124,-33.36568136840742,41.93078693608696,0.8093228876907945
roughness,A2,200,11.194174596734479,12.233046517647464,7.304274301618134,-82.02887833033027,49.90337627211531,0.6924503132510904
roughness,A3,200,7.699460798536234,9.545034873822143,4.416352258737138,-43.57467549699747,40.61931275829897,0.8425076509151442
roughness,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
roughness,A5,200,6.965969780606938,9.232405432238856,4.014139053505641,-41.142522950634415,43.995957612938895,0.8701736203143309
roughness,A6,200,10.17709878550118,10.765299074643053,6.46647208248794,-47.01870490939358,42.63963037640503,0.7912997529723123
warmth,A2,200,9.969651821913935,7.336228239342064,9.095228396139493,-10.587134547705467,32.68543561779278,0.850783545291987
warmth,A3,200,6.841967178344321,5.451161666662375,5.866832437644415,-9.540919604986662,23.395542680232833,0.9147717713355689
warmth,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
warmth,A5,200,7.134653792528273,5.520889947433479,5.761136151497345,-25.515243291571558,15.00479118604607,0.9178845324338736
warmth,A6,200,11.283034419497234,8.420779855465737,9.948925870103862,-34.014857829323475,18.034960022788965,0.8183208852059028
sharpness,A2,200,8.934305782330007,6.6363306912812945,7.860112543095964,-30.075198378516333,24.83086187876961,0.840266657073357
sharpness,A3,200,6.245300091012925,5.159157674656408,5.024017309404396,-25.097138435930813,18.279212475274512,0.9243921687742439
sharpness,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
sharpness,A5,200,7.130428419611215,4.9072457790131665,6.09413999197951,-23.18274021442577,25.432783820696372,0.9415218369296676
sharpness,A6,200,13.632187745065867,9.177931735280199,12.212935951731923,-45.53931239128149,46.3558966476249,0.8397291444778335
boominess,A2,200,14.142390960767376,10.78031040544321,11.820963611735447,-21.913544543692524,50.77563858949808,0.685346793597773
boominess,A3,200,10.355726885799077,8.246391272924601,8.391507228805782,-26.375083227979786,39.77260919994918,0.8160021105001474
boominess,A4,200,0.0,0.0,0.0,0.0,0.0,1.0
boominess,A5,200,10.421919629783634,8.451101138610882,8.962835261619858,-46.50680676456933,20.64421299326854,0.8484651436121763
boominess,A6,200,16.097726474056543,11.232588941753479,15.364329655122347,-53.790156024783315,21.797842131840177,0.7862972125612576
