method,descriptor,mae,rmse,r2,n,audibility_rate,validity_rate
cvae_mean,brightness,20.190462112426758,24.110700607299805,-0.42927450651215326,1481,1.0,1.0
cvae_mean,depth,15.169047355651855,18.66907501220703,-0.05535351800585531,1481,1.0,1.0
cvae_mean,hardness,22.100921630859375,26.349750518798828,-1.019972149244884,1481,1.0,1.0
cvae_mean,roughness,34.59804916381836,40.16107940673828,-2.9167018254883814,1481,1.0,1.0
cvae_mean,warmth,10.910527229309082,13.249256134033203,0.3497370793709602,1481,1.0,1.0
cvae_mean,sharpness,16.214460372924805,20.689929962158203,-0.21232390380931765,1481,1.0,1.0
cvae_mean,boominess,14.471171379089355,17.465848922729492,0.10511534667138256,1481,1.0,1.0
cvae_mean,macro,19.09351989201137,22.956520080566406,-0.5969676395740356,,1.0,1.0
cvae_sample,brightness,14.380473136901855,17.961265563964844,0.20682350978322295,1481,1.0,1.0
cvae_sample,depth,11.734436988830566,14.844273567199707,0.33319382823480537,1480,1.0,1.0
cvae_sample,hardness,14.811431884765625,18.709739685058594,-0.018422211259592203,1481,1.0,1.0
cvae_sample,roughness,16.863489151000977,21.970809936523438,-0.17220041071515868,1481,1.0,1.0
cvae_sample,warmth,10.940630912780762,13.900552749633789,0.2842355878264329,1481,1.0,1.0
cvae_sample,sharpness,14.980379104614258,19.012096405029297,-0.023671554109200965,1481,1.0,1.0
cvae_sample,boominess,12.039033889770508,15.379378318786621,0.3061505308508259,1481,1.0,1.0
cvae_sample,macro,13.678553581237793,17.39687374659947,0.13087275437304788,,1.0,1.0
