method,descriptor,mae,rmse,r2,n,audibility_rate,validity_rate
cvae_mean,brightness,15.411067962646484,19.100385665893555,0.13272153345861237,1414,0.9547602970965564,1.0
cvae_mean,depth,13.80307388305664,17.594161987304688,0.08527924059233438,1414,0.9547602970965564,1.0
cvae_mean,hardness,15.451641082763672,19.415422439575195,-0.07337471111946825,1414,0.9547602970965564,1.0
cvae_mean,roughness,12.429065704345703,16.476207733154297,0.36006024670724446,1414,0.9547602970965564,1.0
cvae_mean,warmth,10.686726570129395,13.629040718078613,0.33228880942944194,1414,0.9547602970965564,1.0
cvae_mean,sharpness,13.47083854675293,17.887340545654297,0.12471271476940216,1414,0.9547602970965564,1.0
cvae_mean,boominess,14.956659317016602,17.895742416381836,0.0965059117037107,1414,0.9547602970965564,1.0
cvae_mean,macro,13.74415329524449,17.4283287865775,0.1511705350773254,,0.9547602970965564,1.0
cvae_sample,brightness,14.571971893310547,18.194828033447266,0.1860609436194428,1481,1.0,1.0
cvae_sample,depth,11.92701530456543,15.24911117553711,0.29588845866061275,1481,1.0,1.0
cvae_sample,hardness,15.17833137512207,19.159738540649414,-0.06800058245451535,1481,1.0,1.0
cvae_sample,roughness,18.200824737548828,24.120588302612305,-0.4128156697701735,1481,1.0,1.0
cvae_sample,warmth,11.246661186218262,14.482606887817383,0.22303853003626373,1481,1.0,1.0
cvae_sample,sharpness,15.473579406738281,19.536001205444336,-0.08086635626799232,1481,1.0,1.0
cvae_sample,boominess,12.867464065551758,16.372577667236328,0.2136392160484435,1481,1.0,1.0
cvae_sample,macro,14.209406852722168,18.15935025896345,0.05099207712458309,,1.0,1.0
